Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"False Guillotine","Flying Guillotine Boulder > Kung Fu Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117507778/false-guillotine,2.0,-1,Boulder,V3,1,8,33.81207,-116.64853
Unnamed,"Flying Guillotine Boulder > Kung Fu Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117507797/unnamed,1.0,-1,Boulder,V4,1,8,33.81207,-116.64853
"Flying Guillotine","Flying Guillotine Boulder > Kung Fu Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117507789/flying-guillotine,2.0,-1,Boulder,V6+,1,8,33.81207,-116.64853
Unnamed,"Don's Boulder > Kung Fu Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117507824/unnamed,1.0,-1,Boulder,V-easy,1,10,33.81195,-116.64778
Unnamed,"Don's Boulder > Kung Fu Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117507819/unnamed,2.0,-1,Boulder,V1,1,10,33.81195,-116.64778
"Don's Throw","Don's Boulder > Kung Fu Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117507814/dons-throw,3.0,-1,Boulder,V6,1,10,33.81195,-116.64778
"Tooth or Dare","Tooth Fairy Boulder > Year of the Cat Gully > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106488379/tooth-or-dare,1.0,-1,Boulder,V-easy,1,15,33.81422,-116.65105
"Tooth Hurty","Tooth Fairy Boulder > Year of the Cat Gully > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106488397/tooth-hurty,1.0,-1,Boulder,V-easy,1,12,33.81422,-116.65105
"Tooth Fairy","Tooth Fairy Boulder > Year of the Cat Gully > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106488234/tooth-fairy,2.6,-1,Boulder,V5-6,1,12,33.81422,-116.65105
iMac,"iMac Boulder > Year of the Cat Gully > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106499140/imac,3.0,-1,Boulder,V4,1,20,33.82364,-116.63888
Tetrys,"Tetrys Boulder > Year of the Cat Gully > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106499166/tetrys,2.7,-1,Boulder,V1,1,12,33.81464,-116.6519
"Tetrys Right","Tetrys Boulder > Year of the Cat Gully > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106499173/tetrys-right,2.7,-1,Boulder,V2,1,12,33.81464,-116.6519
"Not a Flowmaster","Tetrys Boulder > Year of the Cat Gully > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109051564/not-a-flowmaster,2.0,-1,Boulder,V5+,1,12,33.81464,-116.6519
"Shoe Slab","Shoe Slab > Year of the Cat Gully > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106506421/shoe-slab,2.2,-1,Boulder,V-easy,1,15,33.82364,-116.63888
S.A.P.,"Shoe Slab > Year of the Cat Gully > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106506430/sap,1.0,-1,Boulder,V1,1,10,33.82364,-116.63888
"The Persistance of Time (aka The Undone Marc Roth Project)","Year of the Cat Boulder > Year of the Cat Gully > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108055451/the-persistance-of-time-aka-the-undone-marc-roth-project,2.6,-1,Boulder,V5-6,1,15,33.81414,-116.65079
"Year of the Cat","Year of the Cat Boulder > Year of the Cat Gully > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112009628/year-of-the-cat,2.5,-1,Boulder,V9-10,1,12,33.81414,-116.65079
"Unnamed V1","Matt Hotch Boulder > Year of the Cat Gully > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112009722/unnamed-v1,-1.0,-1,Boulder,V1,1,12,33.81436,-116.65098
"The Matt Hotch Problem","Matt Hotch Boulder > Year of the Cat Gully > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112009712/the-matt-hotch-problem,3.0,-1,Boulder,V9,1,12,33.81436,-116.65098
Unnamed,"Entrance Boulder > Year of the Cat Gully > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/113091696/unnamed,2.0,-1,Boulder,V3,1,,33.81374,-116.64862
"Problem C","Greasefire Boulder > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106488420/problem-c,2.1,-1,Boulder,V2,1,10,33.81467,-116.6505
"Problem A","Greasefire Boulder > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106488364/problem-a,2.3,-1,Boulder,V3,1,10,33.81467,-116.6505
"Problem B","Greasefire Boulder > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106488411/problem-b,2.4,-1,Boulder,V3,1,10,33.81467,-116.6505
"Imperfect Circle","Greasefire Boulder > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108169026/imperfect-circle,2.0,-1,Boulder,V5,1,8,33.81467,-116.6505
"Greasefire - Right Variation","Greasefire Boulder > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106488389/greasefire-right-variation,2.0,-1,Boulder,V5,1,15,33.81467,-116.6505
Greasefire,"Greasefire Boulder > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106488376/greasefire,3.2,-1,Boulder,V6,1,15,33.81467,-116.6505
"Sunshine Daydream (aka Yo Picasso)","Yo Picasso (aka Sunshine Daydream) Boulder > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106492551/sunshine-daydream-aka-yo-picasso,3.7,-1,Boulder,V4,1,16,33.81537,-116.65012
"Velvet Fog","Velvet Fog boulder > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107218954/velvet-fog,3.0,-1,Boulder,V3,1,12,33.8151,-116.65088
"Marc's Variation","Velvet Fog boulder > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107218961/marcs-variation,2.5,-1,Boulder,V4,1,12,33.8151,-116.65088
Unnamed,"Velvet Fog boulder > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117124826/unnamed,2.0,-1,Boulder,V4,1,12,33.8151,-116.65088
Holez,"Kinesthesia > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117283301/holez,2.0,-1,Boulder,V0,1,16,33.81657,-116.65141
Kinesthesia,"Kinesthesia > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109089188/kinesthesia,2.0,-1,Boulder,V5,1,,33.81657,-116.65141
"The Mobius","The Mobius > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109089230/the-mobius,2.8,-1,Boulder,V4,1,,33.81644,-116.65103
"Daniels Overhang","The Mobius > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109089248/daniels-overhang,2.0,-1,Boulder,V5-,1,,33.81644,-116.65103
"The Mobius Direct","The Mobius > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109090818/the-mobius-direct,2.0,-1,Boulder,V5,1,8,33.81644,-116.65103
"Thin White Duke","Duke Boulder > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112109868/thin-white-duke,2.0,-1,Boulder,V2,1,12,33.81642,-116.65141
"The Right Hand of Todd","Todd's Hand Boulder > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117283333/the-right-hand-of-todd,2.0,-1,Boulder,V2+,1,10,33.81631,-116.65067
"The Left Hand of Todd","Todd's Hand Boulder > Area 51/Deer Canyon > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117283324/the-left-hand-of-todd,2.0,-1,Boulder,V3,1,10,33.81631,-116.65067
"Year of the Cockroach","Cockroach Boulder > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106499184/year-of-the-cockroach,3.4,-1,Boulder,V5+,1,15,33.81416,-116.65264
"For the Love of Basic Cable (I <3 Cable)","Cockroach Boulder > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108169106/for-the-love-of-basic-cable-i-3-cable,3.5,-1,Boulder,V9,1,20,33.81416,-116.65264
"Iceberg Arete Direct","Iceberg 3 > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106502165/iceberg-arete-direct,2.2,-1,Boulder,V1,1,12,33.81446,-116.65321
"Go with the Floe","Iceberg 3 > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106502173/go-with-the-floe,1.5,-1,Boulder,V1,1,12,33.81446,-116.65321
"Iceberg Arete","Iceberg 3 > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106502161/iceberg-arete,3.0,-1,Boulder,V2,1,20,33.81446,-116.65321
"Buddha Belly","Iceberg 3 > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106502169/buddha-belly,2.7,-1,Boulder,V5,1,12,33.81446,-116.65321
"Science Fiction","Iceberg 3 > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117064543/science-fiction,3.0,-1,Boulder,V10,1,8,33.81446,-116.65321
Crack-O-Pop,"Iceberg 1 > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106504782/crack-o-pop,3.1,-1,Boulder,V5,1,12,33.81467,-116.65288
"The Undone Greg Loh Project","Iceberg 1 > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112009438/the-undone-greg-loh-project,2.0,-1,Boulder,V8,1,15,33.81467,-116.65288
Unnamed,"Iceberg 2 > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112000845/unnamed,1.0,-1,Boulder,V0,1,10,33.8145,-116.653
Flex,"Iceberg 2 > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112000864/flex,1.0,-1,Boulder,V1,1,12,33.8145,-116.653
Unnamed,"Iceberg 2 > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117612686/unnamed,2.0,-1,Boulder,V2-,1,10,33.8145,-116.653
Unnamed,"Iceberg 2 > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117612758/unnamed,2.0,-1,Boulder,V2-,1,10,33.8145,-116.653
Unnamed,"Iceberg 2 > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117612712/unnamed,3.0,-1,Boulder,V2,1,10,33.8145,-116.653
"Unnamed V4","Iceberg 2 > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108771427/unnamed-v4,1.8,-1,Boulder,V4,1,12,33.8145,-116.653
"Dyno Problem","Iceberg 2 > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117612650/dyno-problem,2.0,-1,Boulder,V4,1,12,33.8145,-116.653
"Clubbing Baby Seals","Iceberg 2 > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117612736/clubbing-baby-seals,3.0,-1,Boulder,V5,1,10,33.8145,-116.653
"Unnamed v6","Iceberg 2 > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107901506/unnamed-v6,2.7,-1,Boulder,V6,1,10,33.8145,-116.653
"Greenpeace (Stand)","Iceberg 2 > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108400572/greenpeace-stand,2.1,-1,Boulder,V8,1,10,33.8145,-116.653
"Greenpeace (Sit)","Iceberg 2 > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108443099/greenpeace-sit,3.0,-1,Boulder,V10,1,8,33.8145,-116.653
"Hurdy Gurdy Man","Accordian Boulder > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109105425/hurdy-gurdy-man,1.0,-1,Boulder,V3-4,1,9,33.81361,-116.65387
"Organ Donor Dyno","Accordian Boulder > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109105464/organ-donor-dyno,-1.0,-1,Boulder,V4,1,11,33.81361,-116.65387
"The Organ Grinder","Accordian Boulder > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109105448/the-organ-grinder,2.0,-1,Boulder,V5,1,11,33.81361,-116.65387
"The Real Organ Grinder","Accordian Boulder > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109105453/the-real-organ-grinder,2.7,-1,Boulder,V5,1,15,33.81361,-116.65387
"White Face Right Arete","White Face Boulder > Iceberg West > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/110471630/white-face-right-arete,1.0,-1,Boulder,"V0 PG13",1,20,33.8133,-116.65132
"Pistol Whipped","White Face Boulder > Iceberg West > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/110471762/pistol-whipped,3.0,-1,Boulder,V3-,1,15,33.8133,-116.65132
"White Face","White Face Boulder > Iceberg West > The Icebergs > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/110471613/white-face,2.0,-1,Boulder,V3,1,17,33.8133,-116.65132
