Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Solitude sit","Lone Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111948785/solitude-sit,3.0,-1,Boulder,V10,1,13,33.81349,-116.64906
"Campus Problem","Wave Boulders > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111992796/campus-problem,1.0,-1,Boulder,V1-2,1,8,33.81317,-116.6498
"Unnamed Arete","Wave Boulders > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111992782/unnamed-arete,1.5,-1,Boulder,V3,1,10,33.81317,-116.6498
"Nada III","Wave Boulders > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111992801/nada-iii,2.0,-1,Boulder,V3,1,10,33.81317,-116.6498
"The Wave","Wave Boulders > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111992772/the-wave,2.5,-1,Boulder,V5,1,9,33.81317,-116.6498
"The Rasp","Wave Boulders > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111992792/the-rasp,1.0,-1,Boulder,V6,1,10,33.81317,-116.6498
"Space Wrangler","Space Wrangler > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/111992808/space-wrangler,3.4,-1,Boulder,V4,1,,33.81302,-116.63946
"Sanchez Seam","Sanchez Seam Boulder > Conquest Ridge > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/114316572/sanchez-seam,2.0,-1,Boulder,V5,1,,33.81351,-116.6461
"Tourist Trophy","Ranger Station Rock 3 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106486676/tourist-trophy,1.5,-1,Boulder,V-easy,1,15,33.81273,-116.64341
"Tourist Zone","Ranger Station Rock 3 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106486668/tourist-zone,1.6,-1,Boulder,V0+,1,15,33.81273,-116.64341
"Trail Rail","Ranger Station Rock 3 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106486623/trail-rail,2.1,-1,Boulder,V1,1,15,33.81273,-116.64341
CMMRP,"Ranger Station Rock 3 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106840853/cmmrp,0.0,-1,Boulder,V2-,1,7,33.81273,-116.64341
"Tourist Remover","Ranger Station Rock 3 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106486659/tourist-remover,1.9,-1,Boulder,V3+,1,15,33.81273,-116.64341
"Just Another Trailside Attraction","Ranger Station Rock 3 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106486633/just-another-trailside-attraction,1.3,-1,Boulder,V4,1,15,33.81273,-116.64341
"Trailside Tango","Ranger Station Rock 3 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106226116/trailside-tango,2.6,-1,Boulder,V4,1,15,33.81273,-116.64341
"Trailside Traverse","Ranger Station Rock  2 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106486556/trailside-traverse,1.3,-1,Boulder,V-easy,1,20,33.81253,-116.64337
"Tourist Treat","Ranger Station Rock  2 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106486578/tourist-treat,1.6,-1,Boulder,V0,1,12,33.81253,-116.64337
"Tourist Trap","Ranger Station Rock  2 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106486592/tourist-trap,1.6,-1,Boulder,V0+,1,15,33.81253,-116.64337
"Slab Problem","Ranger Station Rock  2 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106190060/slab-problem,2.1,-1,Boulder,V1,1,15,33.81253,-116.64337
"Da Block","Ranger Station Rock  2 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109046084/da-block,1.5,-1,Boulder,V4,1,,33.81253,-116.64337
"Side Show","Ranger Station Rock  2 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108373129/side-show,2.7,-1,Boulder,V4+,1,20,33.81253,-116.64337
"Road Kill","Ranger Station Rock  2 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108373020/road-kill,3.0,-1,Boulder,V8,1,15,33.81253,-116.64337
"The Crumby Route","Ranger Station Rock 1 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106199689/the-crumby-route,1.0,-1,Boulder,V-easy,1,8,33.81253,-116.64337
"Inside Moves","Ranger Station Rock 1 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106199702/inside-moves,1.7,-1,Boulder,V-easy,1,12,33.81253,-116.64337
"Floyd E. Queeb","Ranger Station Rock 1 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106189206/floyd-e-queeb,1.5,-1,Boulder,V0,1,12,33.81253,-116.64337
"Dynamo Hum","Ranger Station Rock 1 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106199705/dynamo-hum,1.0,-1,Boulder,V0,1,12,33.81253,-116.64337
"It's Another Route","Ranger Station Rock 1 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106210815/its-another-route,1.0,-1,Boulder,V0,1,12,33.81253,-116.64337
"Blind Hog","Ranger Station Rock 1 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106191275/blind-hog,1.0,-1,Boulder,V1,1,12,33.81253,-116.64337
"Fire' Farts","Ranger Station Rock 1 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106191279/fire-farts,2.0,-1,Boulder,V1,1,12,33.81253,-116.64337
"Play Off","Ranger Station Rock 1 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106210837/play-off,1.0,-1,Boulder,V2,1,12,33.81253,-116.64337
"The 19th Hole","Ranger Station Rock 1 > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106199720/the-19th-hole,1.0,-1,Boulder,V4,1,10,33.81253,-116.64337
"Don't Rock the Boat","Boulder Cluster > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106190607/dont-rock-the-boat,2.0,-1,Boulder,"V-easy PG13",1,15,33.81253,-116.64337
"Funky Toe'n","Boulder Cluster > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106190613/funky-toen,1.0,-1,Boulder,V0,1,15,33.81253,-116.64337
"Electric Dimension","Boulder Cluster > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107204644/electric-dimension,1.0,-1,Boulder,V1,1,,33.81253,-116.64337
Trilogy,"Boulder Cluster > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106190619/trilogy,1.0,-1,Boulder,V3,1,15,33.81253,-116.64337
"Mantle Midget","Mantle Midget Boulder > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107280908/mantle-midget,1.8,-1,Boulder,V3,1,8,33.81253,-116.64337
"One Be Low","Mantle Midget Boulder > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109565893/one-be-low,2.0,-1,Boulder,V3+,1,,33.81253,-116.64337
Unnamed,"Boulder > Ranger Station Rocks > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107818978/unnamed,2.5,-1,Boulder,V3,1,13,33.81253,-116.64337
"Center Crack","Chimney Rock > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107674938/center-crack,2.4,-1,Boulder,V0,1,12,33.81271,-116.64176
"Highball Jugs","Chimney Rock > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107818955/highball-jugs,2.0,-1,Boulder,"V0 R",1,20,33.81271,-116.64176
"Right Arête","Chimney Rock > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107674933/right-arete,1.5,-1,Boulder,V1,1,10,33.81271,-116.64176
"Dyno Problem","Chimney Rock > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107674945/dyno-problem,1.9,-1,Boulder,V2,1,8,33.81271,-116.64176
"Moldy Cheese","Chimney Rock > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108846730/moldy-cheese,2.0,-1,Boulder,V2,1,15,33.81271,-116.64176
"Chimney Rock Traverse","Chimney Rock > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108072169/chimney-rock-traverse,2.0,-1,Boulder,V3,1,20,33.81271,-116.64176
"The Honey Pots","Vanishing Point Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107674966/the-honey-pots,2.7,-1,Boulder,V2,1,12,33.81271,-116.64176
"Flight of Osirus","Vanishing Point Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112048632/flight-of-osirus,2.9,-1,Boulder,V6,1,12,33.81271,-116.64176
Snowblind,"Vanishing Point Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112048667/snowblind,3.5,-1,Boulder,V8,1,14,33.81271,-116.64176
"Vanishing Point","Vanishing Point Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107674959/vanishing-point,3.9,-1,Boulder,V9,1,16,33.81271,-116.64176
Left,"Merope Boulder > Pleiades > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108089430/left,1.6,-1,Boulder,V1,1,12,33.81271,-116.64176
Center,"Merope Boulder > Pleiades > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108090838/center,1.8,-1,Boulder,V1,1,12,33.81271,-116.64176
Pleione,"Merope Boulder > Pleiades > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108090866/pleione,2.4,-1,Boulder,V2,1,15,33.81271,-116.64176
Atlas,"Merope Boulder > Pleiades > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108090874/atlas,2.7,-1,Boulder,V3,1,12,33.81271,-116.64176
Alcyone,"Alcyone Boulder > Pleiades > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108090900/alcyone,1.7,-1,Boulder,V0-,1,12,33.81271,-116.64176
Electra,"Electra > Pleiades > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108195628/electra,2.0,-1,Boulder,V3-,1,8,33.81283,-116.64425
Unknown,"Tuna Juice Area > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108090959/unknown,3.0,-1,Boulder,V4,1,10,33.81271,-116.64176
"Tuna Juice","Tuna Juice Area > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108090931/tuna-juice,2.8,-1,Boulder,V6,1,10,33.81271,-116.64176
Starkist,"Tuna Juice Area > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108090947/starkist,2.0,-1,Boulder,V6,1,10,33.81271,-116.64176
"Unnamed V3","Satellite Boulder Cluster > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108257917/unnamed-v3,2.0,-1,Boulder,V3,1,10,33.81271,-116.64176
"Plank Walk","Mutiny Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112108174/plank-walk,2.0,-1,Boulder,V4,1,20,33.81271,-116.64176
Mutiny,"Mutiny Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108550924/mutiny,2.7,-1,Boulder,V7,1,10,33.81271,-116.64176
Unnamed,"Re-Animation Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109290718/unnamed,2.4,-1,Boulder,V3-4,1,10,33.81228,-116.64355
NippleShredder,"Re-Animation Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109290737/nippleshredder,2.0,-1,Boulder,V5,1,10,33.81228,-116.64355
"Slot Machine AKA Re-Animator","Re-Animation Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109290579/slot-machine-aka-re-animator,2.4,-1,Boulder,V6,1,10,33.81228,-116.64355
"Unitizing the ""G""","Re-Animation Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117124701/unitizing-the-g,1.0,-1,Boulder,V8,1,,33.81228,-116.64355
"Gold Corner","Goldstone > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112048565/gold-corner,3.0,-1,Boulder,V0,1,14,33.81354,-116.64436
Goldie,"Goldstone > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112048615/goldie,1.0,-1,Boulder,V2,1,14,33.81354,-116.64436
"Gold Rush","Gold Rush Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/113410243/gold-rush,2.0,-1,Boulder,V4,1,11,33.81142,-116.64181
"Fool's Gold","Gold Rush Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/113410374/fools-gold,2.0,-1,Boulder,V5,1,11,33.81142,-116.64181
"Frank's Problem (variation)","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106388393/franks-problem-variation,2.4,-1,Boulder,V2,1,15,33.81241,-116.64602
"The Terminator","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106228982/the-terminator,2.3,-1,Boulder,V2,1,12,33.81241,-116.64602
"Frank's Direct","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106228962/franks-direct,2.3,-1,Boulder,V3,1,15,33.81241,-116.64602
"Frank's Roof","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106228976/franks-roof,3.0,-1,Boulder,V3,1,10,33.81241,-116.64602
"Frank's Problem","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106387902/franks-problem,2.9,-1,Boulder,V4,1,15,33.81241,-116.64602
"Short Sloper Traverse","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106228968/short-sloper-traverse,2.4,-1,Boulder,V4,1,25,33.81241,-116.64602
"Posse (Right Variation)","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/113079882/posse-right-variation,2.3,-1,Boulder,V6,1,12,33.81241,-116.64602
"Hesitation Factor","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112821688/hesitation-factor,2.0,-1,Boulder,V7,1,8,33.81241,-116.64602
"Bedroom Smackdown","Cross of Choss Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107180617/bedroom-smackdown,0.5,-1,Boulder,V5-,1,14,33.81257,-116.64636
"Problem C","Mandala of Tram > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108195601/problem-c,1.7,-1,Boulder,V1,1,8,33.8126,-116.6454
"Problem B","Mandala of Tram > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108195596/problem-b,1.0,-1,Boulder,V2,1,10,33.8126,-116.6454
"Problem A","Mandala of Tram > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108195591/problem-a,2.3,-1,Boulder,V3,1,10,33.8126,-116.6454
"Green Hornet","Mandala of Tram > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107204528/green-hornet,3.5,-1,Boulder,V5,1,,33.8126,-116.6454
"Green Hornet Direct","Mandala of Tram > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/110320868/green-hornet-direct,2.6,-1,Boulder,V5,1,,33.8126,-116.6454
Unnamed,"E.Z. Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107204634/unnamed,1.5,-1,Boulder,V-easy,1,,33.8124,-116.6454
"Mantel Problem","E.Z. Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108195560/mantel-problem,1.0,-1,Boulder,V-easy,1,12,33.8124,-116.6454
"E.Z Flake","E.Z. Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108195572/ez-flake,1.8,-1,Boulder,V-easy,1,12,33.8124,-116.6454
"E.Z. Left","E.Z. Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107204624/ez-left,1.6,-1,Boulder,V1,1,,33.8124,-116.6454
"E.Z Right","E.Z. Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108195577/ez-right,2.0,-1,Boulder,"V2 PG13",1,18,33.8124,-116.6454
"One Handed Mantle","E.Z. Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108195566/one-handed-mantle,2.0,-1,Boulder,V5,1,12,33.8124,-116.6454
"Big Ballz","Angus Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109083035/big-ballz,2.0,-1,Boulder,V3,1,,33.81222,-116.64633
"Bonn Scott Memorial Face Problem","Angus Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108187033/bonn-scott-memorial-face-problem,2.2,-1,Boulder,V3-4,1,9,33.81222,-116.64633
Mangus,"Angus Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107241624/mangus,2.7,-1,Boulder,V5,1,10,33.81222,-116.64633
Malcolm,"Angus Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108454721/malcolm,2.3,-1,Boulder,V6,1,8,33.81222,-116.64633
Angus,"Angus Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108454706/angus,2.4,-1,Boulder,V9,1,8,33.81222,-116.64633
Blacktop,"Blacktop Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107901552/blacktop,3.0,-1,Boulder,V4,1,12,33.81269,-116.64687
"Hoch Mantel","Seven Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108004289/hoch-mantel,2.1,-1,Boulder,V4,1,6,33.81289,-116.64658
Slitherin,"Seven Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108004621/slitherin,2.0,-1,Boulder,V5-,1,6,33.81289,-116.64658
"Power of Seven","Seven Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108004255/power-of-seven,2.5,-1,Boulder,V7,1,11,33.81289,-116.64658
"Harry Pothead","Seven Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108005223/harry-pothead,3.0,-1,Boulder,V8,1,10,33.81289,-116.64658
"Morgan Arete","Morgan Boulder > The Pit and the Pendulum Cove > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109064451/morgan-arete,2.7,-1,Boulder,V1,1,18,33.8128,-116.64705
"Variation Morgans Arete","Morgan Boulder > The Pit and the Pendulum Cove > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108055430/variation-morgans-arete,2.0,-1,Boulder,V3-,1,18,33.8128,-116.64705
"Bicycles and Tricycles","Morgan Boulder > The Pit and the Pendulum Cove > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109064455/bicycles-and-tricycles,3.0,-1,Boulder,V4,1,15,33.8128,-116.64705
"Capillary Lockdown","Capillary Lockdown Boulder > The Pit and the Pendulum Cove > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109064465/capillary-lockdown,2.7,-1,Boulder,V4,1,12,33.8127,-116.64701
"The Pit and the Pendulum","Pit and the Pendulum Boulder > The Pit and the Pendulum Cove > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/117289663/the-pit-and-the-pendulum,3.0,-1,Boulder,V6,1,7,33.81281,-116.64717
"Bush Pilot","Pit and the Pendulum Boulder > The Pit and the Pendulum Cove > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108055435/bush-pilot,2.9,-1,Boulder,V8,1,7,33.81281,-116.64717
"Flaming Lip","Flaming Lip Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108195610/flaming-lip,1.0,-1,Boulder,V1,1,10,33.81257,-116.64636
"Flaming Lip Traverse","Flaming Lip Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108068646/flaming-lip-traverse,2.0,-1,Boulder,V2,1,10,33.81257,-116.64636
Gluttony,"Gluttony Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108392570/gluttony,3.9,-1,Boulder,V8,1,14,33.81257,-116.64636
"Unnamed  V2","Black Moon Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112008938/unnamed-v2,-1.0,-1,Boulder,V2,1,18,33.81241,-116.6457
"Tram Pirates","Black Moon Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112009030/tram-pirates,-1.0,-1,Boulder,V3,1,18,33.81241,-116.6457
"Black Moon","Black Moon Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108978322/black-moon,3.4,-1,Boulder,"V3 R",1,15,33.81241,-116.6457
"Da Way","Black Moon Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112008893/da-way,3.0,-1,Boulder,V3,1,23,33.81241,-116.6457
"Done Dirt Cheap","Black Moon Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112008882/done-dirt-cheap,-1.0,-1,Boulder,V5,1,15,33.81241,-116.6457
"Mulligan Stew","Black Moon Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112008956/mulligan-stew,-1.0,-1,Boulder,V6,1,18,33.81241,-116.6457
"Yellow Bruce Lee Tags (at the back of the gym)","Yellow Bruce Lee Tags Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/113700856/yellow-bruce-lee-tags-at-the-back-of-the-gym,1.0,-1,Boulder,V5,1,15,33.81257,-116.64635
"Ride the Lightning","Lightning Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/105997125/ride-the-lightning,3.9,-1,Boulder,"V0+ R",1,30,33.82028,-116.63663
"Daddy's Little Helper","Knobby Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106484766/daddys-little-helper,1.0,-1,Boulder,V1,1,15,33.82028,-116.63663
"Knobby Face","Knobby Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/105997142/knobby-face,2.0,-1,Boulder,V2-3,1,10,33.82028,-116.63663
"Black Prince","Black Cauldron Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106200539/black-prince,2.3,-1,Boulder,V3-,1,12,33.82028,-116.63663
"Black Cauldron","Black Cauldron Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106200545/black-cauldron,2.8,-1,Boulder,V4,1,12,33.82028,-116.63663
Elasticity,"Black Cauldron Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106201314/elasticity,1.0,-1,Boulder,V5,1,12,33.82028,-116.63663
Gemini,"Cassieopeia Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106201348/gemini,1.5,-1,Boulder,V-easy,1,12,33.82028,-116.63663
Cassieopeia,"Cassieopeia Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106201337/cassieopeia,1.0,-1,Boulder,V0,1,12,33.82028,-116.63663
Entropy,"Cassieopeia Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106201353/entropy,1.5,-1,Boulder,V1,1,12,33.82028,-116.63663
Cepheus,"Cassieopeia Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106201373/cepheus,1.0,-1,Boulder,V2,1,12,33.82028,-116.63663
"The Wormhole","Wormhole Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106201913/the-wormhole,2.0,-1,Boulder,V3,1,15,33.82028,-116.63663
Messylepica,"Messylepica Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106201960/messylepica,1.0,-1,Boulder,V0,1,8,33.82028,-116.63663
Vulpecula,"Messylepica Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106201968/vulpecula,2.0,-1,Boulder,V2,1,8,33.82028,-116.63663
Metrolink,"Transportation Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106210881/metrolink,1.0,-1,Boulder,V1+,1,15,33.82028,-116.63663
"The Underground","Transportation Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106212189/the-underground,1.0,-1,Boulder,V2-,1,12,33.82028,-116.63663
"British Rail","Transportation Boulder > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106210866/british-rail,3.0,-1,Boulder,V4,1,20,33.82028,-116.63663
"The Green Room","The Green Room > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106211640/the-green-room,2.0,-1,Boulder,V2,1,15,33.82028,-116.63663
"The Longest Barrel Ride","The Green Room > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106212178/the-longest-barrel-ride,1.0,-1,Boulder,V3,1,15,33.82028,-116.63663
"Pietra Dura","Pietra Dura > Undiscovered Country > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106212206/pietra-dura,1.0,-1,Boulder,V-easy,1,10,33.82028,-116.63663
