,Avg Stars,Route,Route Type,Rating,Pitches,Length,Boulder Face,Boulder,Sub-Area,Area,Mountain Region,Mountain,State,Area Latitude,Area Longitude
203,2.0,Kentucky Fried Brit,Boulder,V4,1,20.0,,Rock Candy,,Flash Gordon Area,The Tramway,San Jacinto Mountains,California,33.823609999999995,-116.63493999999999
204,2.0,Carlton's Variation,Boulder,V6,1,15.0,,Rock Candy,,Flash Gordon Area,The Tramway,San Jacinto Mountains,California,33.81459,-116.64566
205,2.0,Demolition Man,Boulder,V7,1,11.0,,Quinn's Boulder,,Flash Gordon Area,The Tramway,San Jacinto Mountains,California,33.81459,-116.64566
206,2.0,The Cavity,Boulder,V7,1,15.0,,Rhino Boulder,,Flash Gordon Area,The Tramway,San Jacinto Mountains,California,33.81459,-116.64566
207,2.0,Unnamed,Boulder,V8,1,12.0,,Abba Boulder (aka The Cube),Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81459,-116.64566
208,2.7,Super Chicken,Boulder,V1,1,10.0,,Abba Boulder (aka The Cube),Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81374,-116.64528
209,2.4,Tom Slick,Boulder,V2,1,8.0,,Abba Boulder (aka The Cube),Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81374,-116.64528
210,2.1,Unknown,Boulder,V3,1,12.0,,Abba Boulder (aka The Cube),Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81374,-116.64528
211,3.0,Super Slick,Boulder,V3,1,10.0,,March Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81374,-116.64528
212,2.0,George of the Jungle,Boulder,V7,1,12.0,,March Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81374,-116.64528
213,-1.0,Unnamed .8,Boulder,V-easy,1,12.0,,South Warm-up Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.823609999999995,-116.63493999999999
214,2.5,Rock Candy Arete,Boulder,V0,1,12.0,,South Warm-up Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.823609999999995,-116.63493999999999
215,-1.0,Nerds Rope,Boulder,V1,1,12.0,,South Warm-up Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.823609999999995,-116.63493999999999
216,1.0,Arete,Boulder,V3,1,15.0,,South Warm-up Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.823609999999995,-116.63493999999999
217,1.0,Umbra,Boulder,V5,1,10.0,,South Warm-up Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.823609999999995,-116.63493999999999
218,1.0,Misery,Boulder,V7,1,7.0,,South Warm-up Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.823609999999995,-116.63493999999999
219,3.0,Quinn's Dyno,Boulder,V1,1,10.0,,South Warm-up Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.8141,-116.64498999999999
220,2.0,The Rhino,Boulder,V7,1,16.0,,South Warm-up Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.813629999999996,-116.64461000000001
221,2.1,Mantle Problem,Boulder,V1-2,1,7.0,,South Warm-up Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.814409999999995,-116.64923999999999
222,1.0,Unnamed Crack,Boulder,V3-,1,10.0,,South Warm-up Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.814409999999995,-116.64923999999999
223,1.0,Unnamed Arete,Boulder,V4,1,10.0,,South Warm-up Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.814409999999995,-116.64923999999999
224,3.5,Dancing Queen (aka The Cube),Boulder,V5,1,15.0,,South Warm-up Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.814409999999995,-116.64923999999999
225,1.3,March Madness,Boulder,V1 R,1,18.0,,South Warm-up Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81388,-116.64844
226,2.7,March Arete,Boulder,V2+,1,16.0,,South Warm-up Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81388,-116.64844
227,1.3,Problem K,Boulder,V-easy,1,10.0,,Pebble Beach,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81357,-116.64777
228,1.0,Problem L,Boulder,V-easy,1,10.0,,Pebble Beach,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81357,-116.64777
229,1.3,Problem M,Boulder,V-easy,1,8.0,,Pebble Beach,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81357,-116.64777
230,1.4,Problem F,Boulder,V-easy,1,10.0,,Flintstone Boulders,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81357,-116.64777
231,1.0,Problem I,Boulder,V-easy,1,10.0,,Flintstone Boulders,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81357,-116.64777
232,1.2,Problem G,Boulder,V-easy,1,10.0,,Flintstone Boulders,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81357,-116.64777
233,1.7,Problem E,Boulder,V-easy PG13,1,10.0,,Boulder Cluster,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81357,-116.64777
234,1.2,Problem J,Boulder,V0-,1,10.0,,Warm up Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81357,-116.64777
236,1.2,Problem H,Boulder,V0-,1,10.0,,Warm up Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81357,-116.64777
237,2.0,Problem A,Boulder,V0,1,12.0,,Warm up Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81357,-116.64777
238,1.8,Problem D,Boulder,V0+ PG13,1,12.0,,Gold Crack Boulder/Which Way Jose,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81357,-116.64777
239,1.0,Problem N,Boulder,V0+,1,12.0,,Gold Crack Boulder/Which Way Jose,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81357,-116.64777
240,1.8,Problem B,Boulder,V1,1,12.0,,Gold Crack Boulder/Which Way Jose,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81357,-116.64777
241,1.7,Problem C,Boulder,V3,1,12.0,,Gold Crack Boulder/Which Way Jose,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81357,-116.64777
242,1.0,Pebble Beach,Boulder,V0,1,12.0,,Gold Crack Boulder/Which Way Jose,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81439,-116.64728000000001
243,1.0,Blood,Boulder,V2,1,10.0,,Oblivion,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81439,-116.64728000000001
244,1.0,Tyler's Problem,Boulder,V6,1,10.0,,Chad's Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81439,-116.64728000000001
245,1.0,Barney Rubble,Boulder,V0 PG13,1,15.0,,Chad's Boulder,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81355,-116.64813999999998
246,1.0,Bam Bam,Boulder,V1,1,12.0,,Butterscotch Rock,Shangri-La,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81355,-116.64813999999998
247,1.0,Cosmic Bowling,Boulder,V4,1,12.0,,Hueco Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81355,-116.64813999999998
248,3.6,Feel's like a Virgin,Boulder,V3 R,1,16.0,,Hueco Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81425,-116.64769
249,1.0,Warm up  2,Boulder,V0-,1,10.0,,Hueco Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81414,-116.64885
250,1.6,Warm up  3,Boulder,V0,1,15.0,,Breakdance Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81414,-116.64885
251,2.0,The World's Hardest V2,Boulder,V1,1,10.0,,Breakdance Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81414,-116.64885
252,1.0,Unknown v1,Boulder,V1,1,8.0,,Breakdance Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81414,-116.64885
253,2.3,Left Gold Crack,Boulder,V3,1,12.0,,Bitch Slap Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81446,-116.64983000000001
254,3.4,Right Gold Crack,Boulder,V5,1,12.0,,Bitch Slap Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81446,-116.64983000000001
255,2.0,Unnamed V7,Boulder,V7,1,12.0,,Bitch Slap Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81446,-116.64983000000001
256,3.0,Left Gold Crack (Sit),Boulder,V7,1,12.0,,Bitch Slap Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81446,-116.64983000000001
257,4.0,Which Way Jose,Boulder,V9,1,15.0,,Swing Dance Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81446,-116.64983000000001
258,1.7,Oblivion,Boulder,V7,1,7.0,,Swing Dance Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81315,-116.64724
259,1.0,Won't Back-Off,Boulder,V3,1,9.0,,Swing Dance Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81328,-116.64778000000001
260,1.0,Chad's Problem,Boulder,V6,1,7.0,,Swing Dance Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81328,-116.64778000000001
261,3.0,Butterscotch,Boulder,V6 R,1,15.0,,Swing Dance Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81488,-116.64786000000001
262,2.9,Hueco Shuffle,Boulder,V1,1,13.0,,El Diablo Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.8159,-116.64911000000001
263,2.4,Hueco Shuffle - Left,Boulder,V2+,1,15.0,,El Diablo Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.8159,-116.64911000000001
264,2.0,Hueco Shuffle - Direct,Boulder,V3,1,13.0,,Mystic Rhythms Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.8159,-116.64911000000001
265,1.6,Samba,Boulder,V2+,1,10.0,,Mystic Rhythms Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.8159,-116.64911000000001
266,2.5,Breakdance,Boulder,V3,1,10.0,,Flake Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.8159,-116.64911000000001
267,1.9,La Bocha de  Boogy,Boulder,V3,1,12.0,,Flake Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.8159,-116.64911000000001
268,2.1,Waltz,Boulder,V1,1,12.0,,Flake Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.8159,-116.64911000000001
269,1.0,Last Man Standing,Boulder,V2,1,8.0,,Bowling Pin Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.8159,-116.64911000000001
270,2.7,Poorman's Darkhorse (aka Dances with Trees),Boulder,V6,1,13.0,,Bowling Pin Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.8159,-116.64911000000001
271,2.5,Bitch Slap,Boulder,V6,1,10.0,,Swedge Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.8159,-116.64911000000001
272,2.2,Line Dance,Boulder,V1+,1,12.0,,Morgan Crack Boulder,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81573,-116.64921000000001
273,2.0,Square Dance,Boulder,V3-4,1,10.0,,Life/Death Boulders,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81573,-116.64921000000001
274,1.7,Busta Move,Boulder,V4,1,10.0,,Life/Death Boulders,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81573,-116.64921000000001
275,3.0,Soul Train,Boulder,V7,1,15.0,,Life/Death Boulders,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81573,-116.64921000000001
276,3.1,Swing Dance,Boulder,V7,1,15.0,,Life/Death Boulders,The Dance Floor,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81573,-116.64921000000001
277,2.5,Crack Line,Boulder,V2 PG13,1,15.0,,Blue Flame Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81581,-116.64929
279,2.5,El Diablo,Boulder,V5 PG13,1,15.0,,Blue Flame Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81581,-116.64929
280,-1.0,The Crusty Crab,Boulder,V3,1,8.0,,Blue Flame Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.8159,-116.64911000000001
281,2.9,Mystic Rhythms,Boulder,V6,1,10.0,,Blue Flame Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.8159,-116.64911000000001
282,1.0,Problem C,Boulder,V0,1,10.0,,Dyno Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.8159,-116.64911000000001
283,2.0,Problem B,Boulder,V2,1,12.0,,Paul's Rock,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.8159,-116.64911000000001
284,1.0,Problem A,Boulder,V2,1,12.0,,Paul's Rock,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.8159,-116.64911000000001
285,1.0,Problem A,Boulder,V0,1,10.0,,Tram Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.8159,-116.64911000000001
286,2.0,Split,Boulder,V3,1,15.0,,Tram Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.8159,-116.64911000000001
287,3.4,The Swedge,Boulder,V5,1,10.0,,Tram Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81637,-116.64916000000001
290,2.7,Morgan Crack,Boulder,V0 PG13,1,25.0,,Swiss Cheese Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81621,-116.64891999999999
291,-1.0,Death Arete,Boulder,V0,1,12.0,,Swiss Cheese Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81589,-116.64948000000001
292,-1.0,Life Arete,Boulder,V0,1,12.0,,Poorman's Slashface Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81589,-116.64948000000001
293,1.7,Limbo,Boulder,V2,1,10.0,,Poorman's Slashface Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81589,-116.64948000000001
294,2.0,Humpin' the Whale,Boulder,V3,1,7.0,,Poorman's Slashface Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81589,-116.64948000000001
295,2.6,Red Spark,Boulder,V5-6,1,12.0,,Poorman's Slashface Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.816359999999996,-116.64888
296,2.8,Blue Flame,Boulder,V7,1,10.0,,Poorman's Slashface Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.816359999999996,-116.64888
297,2.0,The Cackler,Boulder,V9,1,8.0,,Poorman's Slashface Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.816359999999996,-116.64888
298,4.0,Stretch Armstrong,Boulder,V10,1,12.0,,Railer Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.816359999999996,-116.64888
299,-1.0,Black Mamba,Boulder,V12,1,12.0,,Methane Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.816359999999996,-116.64888
300,2.4,The Outcast (aka Don's Dyno),Boulder,V5,1,8.0,,Methane Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81657,-116.6482
301,1.2,Paul's Cock,Boulder,V3-,1,8.0,,Methane Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81671,-116.64838999999999
303,2.6,Paul Rocks,Boulder,V4,1,10.0,,Methane Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81671,-116.64838999999999
304,2.1,Tram Pass,Boulder,V2-3,1,8.0,,Obe Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81678,-116.64791000000001
305,1.8,Reverse Traverse,Boulder,V4,1,12.0,,Obe Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81678,-116.64791000000001
306,2.4,Memory Loss,Boulder,V6,1,10.0,,Obe Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81678,-116.64791000000001
307,2.4,Tramslot Traverse,Boulder,V7,1,10.0,,Conspiracy Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81678,-116.64791000000001
308,3.0,Annual Pass AKA Ass Drag Traverse,Boulder,V7-8,1,12.0,,Conspiracy Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81678,-116.64791000000001
309,2.0,Moonwalker,Boulder,V3,1,15.0,,Conspiracy Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81664,-116.64806999999999
310,2.0,Hinge,Boulder,V3,1,15.0,,Dyke Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81664,-116.64806999999999
311,1.3,Wonder Twin,Boulder,V-easy,1,10.0,,Hold Your Fire Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81664,-116.64806999999999
312,1.6,Poorman's Slashface,Boulder,V0,1,10.0,,Sharma Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81664,-116.64806999999999
313,1.8,Poorman's Traverse,Boulder,V1,1,15.0,,Sharma Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81664,-116.64806999999999
314,1.7,Plastic Man,Boulder,V1,1,10.0,,Rotten Roof Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81664,-116.64806999999999
315,1.4,Green Lantern,Boulder,V1+,1,9.0,,Llama Boulder,The Beach,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81664,-116.64806999999999
316,1.4,Crossfire,Boulder,V3-,1,9.0,,Glass Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81664,-116.64806999999999
317,2.5,Railer,Boulder,V3,1,10.0,,Glass Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81751,-116.64752
318,2.0,Propane,Boulder,V2,1,8.0,,Glass Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81669,-116.64831000000001
319,2.0,Methane Direct,Boulder,V4,1,10.0,,Glass Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81669,-116.64831000000001
320,2.6,Methane,Boulder,V5,1,15.0,,Glass Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81669,-116.64831000000001
321,2.0,Methamphetamine,Boulder,V7,1,14.0,,Glass Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81669,-116.64831000000001
322,1.0,Meth Lab,Boulder,V9,1,25.0,Boardwalk Boulder - NW Face,Boardwalk Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81669,-116.64831000000001
323,3.0,Obe Problem Direct,Boulder,V4,1,15.0,Boardwalk Boulder - NW Face,Boardwalk Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81725,-116.64806000000002
324,2.0,Obe Problem Right,Boulder,V5-6,1,15.0,Boardwalk Boulder - NW Face,Boardwalk Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81725,-116.64806000000002
325,3.0,Dragonfly,Boulder,V6,1,10.0,Boardwalk Boulder - NW Face,Boardwalk Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81725,-116.64806000000002
326,3.0,All Seeing Eye of the Great Architect of the Universe,Boulder,V2,1,15.0,Boardwalk Boulder - SE Face,Boardwalk Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.818059999999996,-116.64636999999999
327,4.0,Illuminatrix,Boulder,V4 PG13,1,13.0,Boardwalk Boulder - SE Face,Boardwalk Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.818059999999996,-116.64636999999999
328,2.6,Free Mason,Boulder,V5,1,14.0,Boardwalk Boulder - SE Face,Boardwalk Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.818059999999996,-116.64636999999999
329,2.5,Carribean Cocktail,Boulder,V2,1,10.0,,Uphill Glass Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81664,-116.64806999999999
330,2.3,Hold Your Fire,Boulder,V6-7,1,12.0,,Dimit's Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81746,-116.64759
331,3.7,Steep Sharma Arete,Boulder,V9-10,1,12.0,,Unison Rock,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81684,-116.64858999999998
332,-1.0,Devil's Dance,Boulder,V12,1,18.0,,Behind The Boardwalk Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81684,-116.64858999999998
334,2.3,Roof Problem,Boulder,V1,1,7.0,,The Bermuda Triangle Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81684,-116.64837
335,4.0,Ride the Llama,Boulder,V3-,1,8.0,,The Bermuda Triangle Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81685,-116.64787
336,2.0,Glass Jugs,Boulder,V-easy,1,16.0,,Aquaman Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81722,-116.64883999999999
337,2.9,Glass Traverse,Boulder,V-easy,1,25.0,,Aquaman Boulder,Boardwalk Area,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81722,-116.64883999999999
338,2.0,Heart of Glass,Boulder,V-easy,1,16.0,,Dead Tree Boulder,The Alcove,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81722,-116.64883999999999
339,2.6,Glass Direct,Boulder,V0,1,16.0,,Slab Boulder,The Alcove,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81722,-116.64883999999999
340,2.6,Glass Indirect,Boulder,V2,1,16.0,,Slab Boulder,The Alcove,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81722,-116.64883999999999
341,2.0,Glass Slippers,Boulder,V4,1,10.0,,Citrus Boulder,The Alcove,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81722,-116.64883999999999
342,2.8,Over the Boardwalk,Boulder,V7,1,12.0,,Time Boulder,The Alcove,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81738,-116.64868
343,4.0,Left Hand of Darkness,Boulder,V9,1,12.0,,Time Boulder,The Alcove,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81738,-116.64868
344,2.0,Soul Shine,Boulder,V10,1,10.0,,Time Boulder,The Alcove,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81738,-116.64868
345,4.0,The Right Road (aka Soul Darkness),Boulder,V10,1,12.0,,Patriot Boulder,The Alcove,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81738,-116.64868
346,2.0,Catwalk,Boulder,V0,1,15.0,,Patriot Boulder,The Alcove,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81743,-116.64865
347,1.8,Bored Walk,Boulder,V3,1,15.0,,Emerald City,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81743,-116.64865
348,2.0,Under the Boardwalk,Boulder,V5,1,12.0,,Emerald City,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81743,-116.64865
349,1.0,Problem A,Boulder,V2,1,10.0,,Emerald City,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.809509999999996,-116.64036999999999
350,1.0,Dimit's Problem,Boulder,V3,1,9.0,,Emerald City,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.809509999999996,-116.64036999999999
351,2.7,Electric Eye,Boulder,V3 R,1,20.0,,Emerald City,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81716,-116.6485
352,1.4,Problem A,Boulder,V3,1,8.0,,Cave Passage Boulder,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.809509999999996,-116.64036999999999
353,1.5,Problem A,Boulder,V0,1,8.0,,Cave Passage Boulder,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.809509999999996,-116.64036999999999
354,2.5,Beige,Boulder,V2,1,14.0,,Oz Boulder,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81723,-116.64991
355,3.0,Blade Runner,Boulder,V4,1,14.0,,Old Boulder,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81723,-116.64991
356,2.4,Aquaman,Boulder,V4,1,10.0,,Old Boulder,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81706,-116.64867
357,1.0,Aquaman Variation,Boulder,V4-5,1,10.0,,Old Boulder,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81706,-116.64867
358,3.1,Power Windows,Boulder,V6,1,15.0,,Young Boulder,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.816140000000004,-116.64795
359,2.6,Slabarific,Boulder,V1,1,15.0,,Young Boulder,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81615,-116.64778999999999
360,1.0,Slabalicious,Boulder,V2,1,12.0,,Young Boulder,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81615,-116.64778999999999
361,1.0,Tangerine,Boulder,V0,1,8.0,,Young Boulder,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81613,-116.64785
362,1.7,Somewhere In Time,Boulder,V0 PG13,1,15.0,,Young Boulder,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81622,-116.64778000000001
363,1.0,Problem A,Boulder,V2,1,12.0,,Young Boulder,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81622,-116.64778000000001
364,2.8,Time Stands Still,Boulder,V4 PG13,1,18.0,,Young Boulder,The West Rim,Shangri-La Valley,The Tramway,San Jacinto Mountains,California,33.81622,-116.64778000000001
